 time T1_ox_met uel1_tot uel1_sp eh1_sp_ave uel1_mag eh1_mag_ave T2_ox_met uel2_tot uel2_sp eh2_sp_ave uel2_mag eh2_mag_ave T3_ox_met uel3_tot uel3_sp eh3_sp_ave uel3_mag eh3_mag_ave T4_ox_met uel4_tot uel4_sp eh4_sp_ave uel4_mag eh4_mag_ave T5_ox_met uel5_tot uel5_sp eh5_sp_ave uel5_mag eh5_mag_ave T6_ox_met uel6_tot uel6_sp eh6_sp_ave uel6_mag eh6_mag_ave T7_ox_met uel7_tot uel7_sp eh7_sp_ave uel7_mag eh7_mag_ave T8_ox_met uel8_tot uel8_sp eh8_sp_ave uel8_mag eh8_mag_ave T9_ox_met uel9_tot uel9_sp eh9_sp_ave uel9_mag eh9_mag_ave T10_ox_met uel10_tot uel10_sp eh10_sp_ave uel10_mag eh10_mag_ave
  1.66667E+01 4.38586E+02  4.78133E-01  3.09049E-01 -2.78111E-01  1.69084E-01  2.09411E-01  4.38635E+02  4.07475E-01  3.21084E-01 -2.77576E-01  8.63902E-02  2.11907E-01  4.38652E+02  4.01927E-01  3.70983E-01 -2.78030E-01  3.09439E-02  2.12125E-01  4.38620E+02  4.83793E-01  4.37360E-01 -2.79405E-01  4.64325E-02  2.09436E-01  4.38605E+02  5.34783E-01  4.92308E-01 -2.80378E-01  4.24753E-02  2.07806E-01  4.38590E+02  5.83874E-01  5.45959E-01 -2.81309E-01  3.79158E-02  2.06266E-01  4.38577E+02  6.30278E-01  5.95743E-01 -2.82167E-01  3.45350E-02  2.04830E-01  4.38564E+02  6.73751E-01  6.42475E-01 -2.82963E-01  3.12766E-02  2.03504E-01  4.38550E+02  7.19455E-01  6.89589E-01 -2.83772E-01  2.98658E-02  2.02119E-01  4.25014E+02  3.08877E-02  3.08547E-02 -1.10815E-01  3.29692E-05 -5.53672E-03
  1.83333E+01 4.23827E+02  4.91119E-01  3.76825E-01 -3.07096E-01  1.14295E-01  1.72172E-01  4.23898E+02  4.50360E-01  3.91501E-01 -3.06506E-01  5.88591E-02  1.74912E-01  4.23923E+02  4.73414E-01  4.52315E-01 -3.06997E-01  2.10992E-02  1.75161E-01  4.23877E+02  5.64590E-01  5.33191E-01 -3.08500E-01  3.13984E-02  1.72224E-01  4.23854E+02  6.28708E-01  6.00132E-01 -3.09563E-01  2.85758E-02  1.70447E-01  4.23833E+02  6.90867E-01  6.65484E-01 -3.10579E-01  2.53830E-02  1.68768E-01  4.23813E+02  7.49130E-01  7.26118E-01 -3.11517E-01  2.30120E-02  1.67202E-01  4.23795E+02  8.03778E-01  7.83028E-01 -3.12385E-01  2.07497E-02  1.65756E-01  4.23774E+02  8.60120E-01  8.40398E-01 -3.13268E-01  1.97217E-02  1.64245E-01  4.17279E+02  4.25721E-02  4.17040E-02 -1.28833E-01  8.68088E-04 -2.84106E-02
  2.00000E+01 4.09068E+02  5.32987E-01  4.70844E-01 -3.43275E-01  6.21433E-02  1.26954E-01  4.09162E+02  5.21645E-01  4.89156E-01 -3.42607E-01  3.24897E-02  1.29953E-01  4.09195E+02  5.76700E-01  5.65035E-01 -3.43125E-01  1.16652E-02  1.30241E-01  4.09134E+02  6.83001E-01  6.65913E-01 -3.44765E-01  1.70882E-02  1.27054E-01  4.09104E+02  7.64777E-01  7.49376E-01 -3.45920E-01  1.54008E-02  1.25130E-01  4.09076E+02  8.44382E-01  8.30830E-01 -3.47024E-01  1.35512E-02  1.23312E-01  4.09049E+02  9.18557E-01  9.06382E-01 -3.48043E-01  1.21747E-02  1.21617E-01  4.09025E+02  9.88157E-01  9.77273E-01 -3.48987E-01  1.08845E-02  1.20052E-01  4.08999E+02  1.05897E+00  1.04872E+00 -3.49948E-01  1.02511E-02  1.18415E-01  4.09544E+02  5.87209E-02  5.56472E-02 -1.48819E-01  3.07370E-03 -5.34600E-02
  2.16667E+01 4.06375E+02  5.44643E-01  4.86347E-01 -3.48881E-01  5.82958E-02  1.22961E-01  4.06375E+02  5.35849E-01  5.05798E-01 -3.48386E-01  3.00512E-02  1.24981E-01  4.06375E+02  5.94386E-01  5.83613E-01 -3.48720E-01  1.07728E-02  1.25161E-01  4.06375E+02  7.01735E-01  6.85722E-01 -3.49855E-01  1.60128E-02  1.22991E-01  4.06375E+02  7.84565E-01  7.70002E-01 -3.50649E-01  1.45626E-02  1.21677E-01  4.06375E+02  8.64873E-01  8.51946E-01 -3.51406E-01  1.29263E-02  1.20436E-01  4.06375E+02  9.39379E-01  9.27668E-01 -3.52106E-01  1.17110E-02  1.19278E-01  4.06375E+02  1.00904E+00  9.98486E-01 -3.52754E-01  1.05530E-02  1.18209E-01  4.06375E+02  1.07962E+00  1.06960E+00 -3.53415E-01  1.00234E-02  1.17092E-01  4.06375E+02  6.55153E-02  6.14434E-02 -1.56377E-01  4.07196E-03 -6.15319E-02
  2.33333E+01 3.98750E+02  5.85363E-01  5.49646E-01 -3.70890E-01  3.57173E-02  9.62472E-02  3.98750E+02  5.90302E-01  5.71725E-01 -3.70396E-01  1.85777E-02  9.82675E-02  3.98750E+02  6.66272E-01  6.59607E-01 -3.70729E-01  6.66498E-03  9.84472E-02  3.98750E+02  7.84526E-01  7.74713E-01 -3.71865E-01  9.81226E-03  9.62774E-02  3.98750E+02  8.78569E-01  8.69699E-01 -3.72658E-01  8.87022E-03  9.49636E-02  3.98750E+02  9.69836E-01  9.62008E-01 -3.73416E-01  7.82794E-03  9.37219E-02  3.98750E+02  1.05432E+00  1.04727E+00 -3.74116E-01  7.05275E-03  9.25641E-02  3.98750E+02  1.13329E+00  1.12697E+00 -3.74764E-01  6.32223E-03  9.14953E-02  3.98750E+02  1.21294E+00  1.20697E+00 -3.75424E-01  5.97154E-03  9.03779E-02  3.98750E+02  8.83314E-02  7.99563E-02 -1.78387E-01  8.37510E-03 -8.82457E-02
  2.50000E+01 3.91125E+02  6.41202E-01  6.23360E-01 -3.94979E-01  1.78419E-02  6.80251E-02  3.91125E+02  6.57945E-01  6.48506E-01 -3.94484E-01  9.43915E-03  7.00455E-02  3.91125E+02  7.51500E-01  7.48109E-01 -3.94818E-01  3.39139E-03  7.02252E-02  3.91125E+02  8.83234E-01  8.78332E-01 -3.95953E-01  4.90281E-03  6.80553E-02  3.91125E+02  9.90147E-01  9.85766E-01 -3.96746E-01  4.38140E-03  6.67415E-02  3.91125E+02  1.09395E+00  1.09013E+00 -3.97504E-01  3.82337E-03  6.54999E-02  3.91125E+02  1.18988E+00  1.18647E+00 -3.98204E-01  3.40772E-03  6.43421E-02  3.91125E+02  1.27952E+00  1.27650E+00 -3.98852E-01  3.02352E-03  6.32733E-02  3.91125E+02  1.36965E+00  1.36683E+00 -3.99513E-01  2.82440E-03  6.21559E-02  3.91125E+02  1.17597E-01  1.03008E-01 -2.02475E-01  1.45886E-02 -1.16468E-01
  2.66667E+01 3.83500E+02  7.14722E-01  7.08966E-01 -4.21227E-01  5.75683E-03  3.86403E-02  3.83500E+02  7.40860E-01  7.37680E-01 -4.20733E-01  3.18069E-03  4.06607E-02  3.83500E+02  8.52036E-01  8.50889E-01 -4.21067E-01  1.14702E-03  4.08403E-02  3.83500E+02  1.00023E+00  9.98646E-01 -4.22202E-01  1.58300E-03  3.86705E-02  3.83500E+02  1.12189E+00  1.12052E+00 -4.22995E-01  1.37264E-03  3.73567E-02  3.83500E+02  1.24001E+00  1.23885E+00 -4.23753E-01  1.16236E-03  3.61151E-02  3.83500E+02  1.34905E+00  1.34804E+00 -4.24453E-01  1.00588E-03  3.49572E-02  3.83500E+02  1.45091E+00  1.45005E+00 -4.25101E-01  8.67312E-04  3.38884E-02  3.83500E+02  1.55312E+00  1.55233E+00 -4.25761E-01  7.85130E-04  3.27710E-02  3.83500E+02  1.54326E-01  1.31447E-01 -2.28724E-01  2.28787E-02 -1.45853E-01
  2.83333E+01 3.75875E+02  8.08074E-01  8.07822E-01 -4.49637E-01  2.52513E-04  8.09265E-03  3.75875E+02  8.40861E-01  8.40664E-01 -4.49142E-01  1.96758E-04  1.01130E-02  3.75875E+02  9.69654E-01  9.69581E-01 -4.49476E-01  7.28534E-05  1.02927E-02  3.75875E+02  1.13763E+00  1.13756E+00 -4.50611E-01  6.98450E-05  8.12282E-03  3.75875E+02  1.27613E+00  1.27608E+00 -4.51405E-01  4.56030E-05  6.80905E-03  3.75875E+02  1.41056E+00  1.41053E+00 -4.52162E-01  2.76229E-05  5.56740E-03  3.75875E+02  1.53455E+00  1.53454E+00 -4.52862E-01  1.60054E-05  4.40958E-03  3.75875E+02  1.65034E+00  1.65033E+00 -4.53510E-01  8.42875E-06  3.34076E-03  3.75875E+02  1.76641E+00  1.76641E+00 -4.54171E-01  3.61398E-06  2.22337E-03  3.75875E+02  1.99594E-01  1.66128E-01 -2.57133E-01  3.34658E-02 -1.76400E-01
  3.00000E+01 3.68250E+02  9.23550E-01  9.21400E-01 -4.80207E-01  2.15071E-03 -2.36178E-02  3.68250E+02  9.59892E-01  9.58995E-01 -4.79712E-01  8.97383E-04 -2.15975E-02  3.68250E+02  1.10627E+00  1.10595E+00 -4.80046E-01  3.15458E-04 -2.14178E-02  3.68250E+02  1.29773E+00  1.29714E+00 -4.81181E-01  5.88966E-04 -2.35876E-02  3.68250E+02  1.45538E+00  1.45477E+00 -4.81974E-01  6.09914E-04 -2.49014E-02  3.68250E+02  1.60831E+00  1.60770E+00 -4.82732E-01  6.09085E-04 -2.61431E-02  3.68250E+02  1.74932E+00  1.74870E+00 -4.83432E-01  6.13517E-04 -2.73009E-02  3.68250E+02  1.88093E+00  1.88032E+00 -4.84080E-01  6.07830E-04 -2.83697E-02  3.68250E+02  2.01283E+00  2.01220E+00 -4.84741E-01  6.35661E-04 -2.94871E-02  3.68250E+02  2.54557E-01  2.07977E-01 -2.87703E-01  4.65792E-02 -2.08111E-01
  3.16667E+01 3.60625E+02  1.06359E+00  1.05128E+00 -5.12937E-01  1.23045E-02 -5.64911E-02  3.60625E+02  1.10003E+00  1.09432E+00 -5.12442E-01  5.70820E-03 -5.44707E-02  3.60625E+02  1.26393E+00  1.26191E+00 -5.12776E-01  2.02698E-03 -5.42911E-02  3.60625E+02  1.48299E+00  1.47961E+00 -5.13911E-01  3.37456E-03 -5.64609E-02  3.60625E+02  1.66235E+00  1.65907E+00 -5.14705E-01  3.28319E-03 -5.77747E-02  3.60625E+02  1.83621E+00  1.83310E+00 -5.15462E-01  3.10391E-03 -5.90163E-02  3.60625E+02  1.99649E+00  1.99351E+00 -5.16162E-01  2.98053E-03 -6.01742E-02  3.60625E+02  2.14602E+00  2.14319E+00 -5.16810E-01  2.83260E-03 -6.12430E-02  3.60625E+02  2.29595E+00  2.29311E+00 -5.17471E-01  2.84302E-03 -6.23604E-02  3.60625E+02  3.20447E-01  2.57990E-01 -3.20434E-01  6.24568E-02 -2.40984E-01
