 time T1_ox_met uel1_tot uel1_sp eh1_sp_ave uel1_mag eh1_mag_ave T2_ox_met uel2_tot uel2_sp eh2_sp_ave uel2_mag eh2_mag_ave T3_ox_met uel3_tot uel3_sp eh3_sp_ave uel3_mag eh3_mag_ave T4_ox_met uel4_tot uel4_sp eh4_sp_ave uel4_mag eh4_mag_ave T5_ox_met uel5_tot uel5_sp eh5_sp_ave uel5_mag eh5_mag_ave T6_ox_met uel6_tot uel6_sp eh6_sp_ave uel6_mag eh6_mag_ave T7_ox_met uel7_tot uel7_sp eh7_sp_ave uel7_mag eh7_mag_ave T8_ox_met uel8_tot uel8_sp eh8_sp_ave uel8_mag eh8_mag_ave T9_ox_met uel9_tot uel9_sp eh9_sp_ave uel9_mag eh9_mag_ave T10_ox_met uel10_tot uel10_sp eh10_sp_ave uel10_mag eh10_mag_ave
  1.66667E+01 4.38586E+02  5.46464E-01  4.36002E-01 -2.74911E-01  1.10462E-01  2.12397E-01  4.38635E+02  5.09830E-01  4.53233E-01 -2.74175E-01  5.65969E-02  2.14723E-01  4.38652E+02  5.43012E-01  5.22719E-01 -2.74304E-01  2.02934E-02  2.14904E-01  4.38620E+02  6.44469E-01  6.14076E-01 -2.75412E-01  3.03935E-02  2.12362E-01  4.38605E+02  7.17180E-01  6.89402E-01 -2.76136E-01  2.77776E-02  2.10815E-01  4.38590E+02  7.87382E-01  7.62607E-01 -2.76823E-01  2.47745E-02  2.09352E-01  4.38577E+02  8.52777E-01  8.30230E-01 -2.77460E-01  2.25472E-02  2.07989E-01  4.38564E+02  9.13855E-01  8.93450E-01 -2.78049E-01  2.04046E-02  2.06731E-01  4.38550E+02  9.76388E-01  9.56920E-01 -2.78654E-01  1.94684E-02  2.05416E-01  4.25014E+02  1.36951E-01  1.21032E-01 -1.50503E-01  1.59188E-02 -4.55107E-02
  1.83333E+01 4.23827E+02  6.22134E-01  5.82502E-01 -3.55503E-01  3.96314E-02  1.23007E-01  4.23898E+02  6.26672E-01  6.05937E-01 -3.54913E-01  2.07350E-02  1.25505E-01  4.23923E+02  7.06472E-01  6.99026E-01 -3.55194E-01  7.44637E-03  1.25651E-01  4.23877E+02  8.31773E-01  8.20877E-01 -3.56367E-01  1.08964E-02  1.22842E-01  4.23854E+02  9.31224E-01  9.21409E-01 -3.57170E-01  9.81469E-03  1.21119E-01  4.23833E+02  1.02772E+00  1.01909E+00 -3.57935E-01  8.63129E-03  1.19490E-01  4.23813E+02  1.11703E+00  1.10928E+00 -3.58641E-01  7.75078E-03  1.17972E-01  4.23795E+02  1.20051E+00  1.19358E+00 -3.59295E-01  6.92634E-03  1.16570E-01  4.23774E+02  1.28469E+00  1.27817E+00 -3.59962E-01  6.52036E-03  1.15108E-01  4.17279E+02  2.07626E-01  1.77711E-01 -2.33826E-01  2.99151E-02 -1.33886E-01
  2.00000E+01 4.09068E+02  7.85700E-01  7.82859E-01 -4.43233E-01  2.84100E-03  2.56471E-02  4.09162E+02  8.16571E-01  8.14872E-01 -4.42786E-01  1.69919E-03  2.83224E-02  4.09195E+02  9.40860E-01  9.40243E-01 -4.43217E-01  6.16471E-04  2.84362E-02  4.09134E+02  1.10441E+00  1.10364E+00 -4.44459E-01  7.74783E-04  2.53574E-02  4.09104E+02  1.23913E+00  1.23850E+00 -4.45342E-01  6.29930E-04  2.34582E-02  4.09076E+02  1.36999E+00  1.36950E+00 -4.46185E-01  4.98761E-04  2.16607E-02  4.09049E+02  1.49080E+00  1.49039E+00 -4.46963E-01  4.02805E-04  1.99866E-02  4.09025E+02  1.60368E+00  1.60335E+00 -4.47682E-01  3.23776E-04  1.84406E-02  4.08999E+02  1.71691E+00  1.71664E+00 -4.48411E-01  2.70302E-04  1.68301E-02  4.09544E+02  3.09033E-01  2.55223E-01 -3.19113E-01  5.38101E-02 -2.24436E-01
  2.16667E+01 4.06375E+02  7.04938E-01  6.93383E-01 -4.17203E-01  1.15550E-02  5.34595E-02  4.06375E+02  7.27861E-01  7.21701E-01 -4.16753E-01  6.16052E-03  5.52932E-02  4.06375E+02  8.34073E-01  8.31856E-01 -4.16929E-01  2.21710E-03  5.53587E-02  4.06375E+02  9.77999E-01  9.74818E-01 -4.17762E-01  3.18111E-03  5.32298E-02  4.06375E+02  1.09537E+00  1.09254E+00 -4.18326E-01  2.83008E-03  5.19134E-02  4.06375E+02  1.20907E+00  1.20661E+00 -4.18863E-01  2.45887E-03  5.06673E-02  4.06375E+02  1.31383E+00  1.31165E+00 -4.19359E-01  2.18231E-03  4.95072E-02  4.06375E+02  1.41153E+00  1.40960E+00 -4.19817E-01  1.92849E-03  4.84358E-02  4.06375E+02  1.50942E+00  1.50762E+00 -4.20286E-01  1.79360E-03  4.73203E-02  4.06375E+02  2.62894E-01  2.19447E-01 -2.95940E-01  4.34468E-02 -2.01722E-01
  2.33333E+01 3.98750E+02  7.71091E-01  7.68032E-01 -4.39028E-01  3.05924E-03  2.67782E-02  3.98750E+02  8.01387E-01  7.99662E-01 -4.38645E-01  1.72550E-03  2.85822E-02  3.98750E+02  9.22406E-01  9.21782E-01 -4.38858E-01  6.23739E-04  2.86256E-02  3.98750E+02  1.08073E+00  1.07989E+00 -4.39668E-01  8.40109E-04  2.64975E-02  3.98750E+02  1.21082E+00  1.21010E+00 -4.40227E-01  7.16957E-04  2.51762E-02  3.98750E+02  1.33684E+00  1.33624E+00 -4.40759E-01  5.97403E-04  2.39251E-02  3.98750E+02  1.45287E+00  1.45236E+00 -4.41251E-01  5.08710E-04  2.27605E-02  3.98750E+02  1.56104E+00  1.56061E+00 -4.41705E-01  4.31716E-04  2.16851E-02  3.98750E+02  1.66929E+00  1.66890E+00 -4.42168E-01  3.83918E-04  2.05662E-02  3.98750E+02  3.08992E-01  2.53247E-01 -3.17882E-01  5.57449E-02 -2.28423E-01
  2.50000E+01 3.91125E+02  8.54144E-01  8.54119E-01 -4.62919E-01  2.49067E-05 -1.41042E-03  3.91125E+02  8.89588E-01  8.89576E-01 -4.62607E-01  1.14827E-05  3.62051E-04  3.91125E+02  1.02550E+00  1.02549E+00 -4.62859E-01  3.96165E-06  3.82047E-04  3.91125E+02  1.20105E+00  1.20105E+00 -4.63644E-01  2.85404E-06 -1.74539E-03  3.91125E+02  1.34566E+00  1.34566E+00 -4.64197E-01  4.36861E-06 -3.07210E-03  3.91125E+02  1.48571E+00  1.48570E+00 -4.64725E-01  7.71412E-06 -4.32869E-03  3.91125E+02  1.61459E+00  1.61458E+00 -4.65211E-01  1.22174E-05 -5.49794E-03  3.91125E+02  1.73471E+00  1.73469E+00 -4.65661E-01  1.69759E-05 -6.57788E-03  3.91125E+02  1.85484E+00  1.85481E+00 -4.66118E-01  2.37166E-05 -7.70052E-03  3.91125E+02  3.63415E-01  2.93015E-01 -3.41897E-01  7.03998E-02 -2.56631E-01
  2.66667E+01 3.83500E+02  9.56505E-01  9.53153E-01 -4.88960E-01  3.35166E-03 -3.07618E-02  3.83500E+02  9.94490E-01  9.93019E-01 -4.88722E-01  1.47083E-03 -2.90221E-02  3.83500E+02  1.14532E+00  1.14480E+00 -4.89014E-01  5.19743E-04 -2.90267E-02  3.83500E+02  1.34133E+00  1.34041E+00 -4.89773E-01  9.17032E-04 -3.11537E-02  3.83500E+02  1.50249E+00  1.50157E+00 -4.90320E-01  9.21613E-04 -3.24863E-02  3.83500E+02  1.65849E+00  1.65759E+00 -4.90842E-01  8.96827E-04 -3.37488E-02  3.83500E+02  1.80202E+00  1.80113E+00 -4.91323E-01  8.83418E-04 -3.49231E-02  3.83500E+02  1.93574E+00  1.93488E+00 -4.91767E-01  8.58600E-04 -3.60079E-02  3.83500E+02  2.06947E+00  2.06858E+00 -4.92217E-01  8.81197E-04 -3.71346E-02  3.83500E+02  4.27127E-01  3.39653E-01 -3.68068E-01  8.74734E-02 -2.86002E-01
  2.83333E+01 3.75875E+02  1.08030E+00  1.06648E+00 -5.17150E-01  1.38244E-02 -6.12758E-02  3.75875E+02  1.11789E+00  1.11140E+00 -5.16990E-01  6.49607E-03 -5.95704E-02  3.75875E+02  1.28365E+00  1.28134E+00 -5.17322E-01  2.31157E-03 -5.96008E-02  3.75875E+02  1.50368E+00  1.49988E+00 -5.18054E-01  3.79869E-03 -6.17276E-02  3.75875E+02  1.68362E+00  1.67995E+00 -5.18594E-01  3.66937E-03 -6.30663E-02  3.75875E+02  1.85769E+00  1.85424E+00 -5.19110E-01  3.44652E-03 -6.43352E-02  3.75875E+02  2.01783E+00  2.01454E+00 -5.19585E-01  3.29017E-03 -6.55150E-02  3.75875E+02  2.16698E+00  2.16386E+00 -5.20024E-01  3.11056E-03 -6.66049E-02  3.75875E+02  2.31620E+00  2.31309E+00 -5.20466E-01  3.10536E-03 -6.77360E-02  3.75875E+02  5.01198E-01  3.94013E-01 -3.96395E-01  1.07185E-01 -3.16535E-01
  3.00000E+01 3.68250E+02  1.22781E+00  1.19555E+00 -5.47491E-01  3.22590E-02 -9.29526E-02  3.68250E+02  1.26173E+00  1.24623E+00 -5.47410E-01  1.54953E-02 -9.12827E-02  3.68250E+02  1.44237E+00  1.43685E+00 -5.47785E-01  5.52546E-03 -9.13401E-02  3.68250E+02  1.69036E+00  1.68149E+00 -5.48488E-01  8.87240E-03 -9.34669E-02  3.68250E+02  1.89154E+00  1.88308E+00 -5.49020E-01  8.45627E-03 -9.48123E-02  3.68250E+02  2.08601E+00  2.07816E+00 -5.49529E-01  7.84576E-03 -9.60879E-02  3.68250E+02  2.26494E+00  2.25753E+00 -5.49997E-01  7.40696E-03 -9.72736E-02  3.68250E+02  2.43151E+00  2.42458E+00 -5.50430E-01  6.93291E-03 -9.83691E-02  3.68250E+02  2.59831E+00  2.59146E+00 -5.50865E-01  6.85111E-03 -9.95048E-02  3.68250E+02  5.86778E-01  4.57014E-01 -4.26878E-01  1.29764E-01 -3.48231E-01
  3.16667E+01 3.60625E+02  1.40144E+00  1.34194E+00 -5.79982E-01  5.95024E-02 -1.25792E-01  3.60625E+02  1.42805E+00  1.39916E+00 -5.79983E-01  2.88920E-02 -1.24159E-01  3.60625E+02  1.62354E+00  1.61322E+00 -5.80402E-01  1.03130E-02 -1.24245E-01  3.60625E+02  1.90381E+00  1.88744E+00 -5.81074E-01  1.63713E-02 -1.26372E-01  3.60625E+02  2.12893E+00  2.11343E+00 -5.81598E-01  1.54988E-02 -1.27724E-01  3.60625E+02  2.34635E+00  2.33206E+00 -5.82100E-01  1.42907E-02 -1.29007E-01  3.60625E+02  2.54645E+00  2.53303E+00 -5.82560E-01  1.34149E-02 -1.30199E-01  3.60625E+02  2.73265E+00  2.72015E+00 -5.82987E-01  1.24918E-02 -1.31300E-01  3.60625E+02  2.91932E+00  2.90704E+00 -5.83413E-01  1.22792E-02 -1.32441E-01  3.60625E+02  6.85095E-01  5.29648E-01 -4.59517E-01  1.55447E-01 -3.81089E-01
